contract_name,contract_address,token_type,symbol,decimals
BeefyVaultV6,0xf6fD90FE8f057a63F0368B0B551D5e52C7Ae821F,ERC-20,mooSushicUSD-WETH,18
CFATokenProxy,0xAd59C75Eb9568E699dFC71D530E27F8D12e135ca,ERC-20,cXOF,8
CeloApes,0x1eCD77075F7504bA849d47DCe4cdC9695f1FE942,ERC-721,CAK,
NanoToken,0x4622E9F21F56D5E07467B131d4DFfdfd3bcb4997,ERC-20,Nano,18
Teo,0x961cbbAA52077dD3Aa09bb0503CD27740236dFCC,ERC-20,TEO,18
WTC,0x146ae897Cc7f32B35839d6fEc7fC9e2694817ffa,ERC-20,WTC,18
NFT,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,ERC-721,CT,
CeloToadzNFT,0x86bEF3d8Ad9d30435da8c111BB67c510B8311721,ERC-721,CTOADZ,
CeloToadzNFT,0x6Fc1C8d59FdC261c55273f9b8e64B7E88C45E208,ERC-721,CTOADZ,
PREMIO,0x94140c2eA9D208D8476cA4E3045254169791C59e,ERC-20,PREMIO,18
supraVaultV5,0xef5b13D633fFEda2E05c1D1C398D8d185D3e03E8,ERC-20,supraUBE,18
Stabilite,0x9ef8756633414f648ba8597C3FcD5f02b45DcCA2,ERC-20,stabUSD,18
MobiusVault,0x7047E61F3Aa4A1312252dD61a292143abC67F78f,ERC-20,mobVAULT,18
Stabilite,0x0a60c25Ef6021fC3B479914E6bcA7C03c18A97f1,ERC-20,stabilUSD,18
STABIL,0xe6CbF90a7a33eddC9e27eD2bb383B7baA93cC7Dc,ERC-20,STABIL,18
BeefyVaultV6,0xf68C61E3c2f9C48E53391E1FCd2db1f19998151b,ERC-20,mooCeloBIFI,18
NonFungibleToken,0x068117420f08262c611B62C08b582C2109b799Ab,ERC-721,MPUNK,
SNT,0xF66Abb0d63C60D39FA9E6E9c20ABE0F7635E4D94,ERC-20,SNT,18
TransparentUpgradeableProxy,0x74c0C58B99b68cF16A717279AC2d056A34ba2bFe,ERC-20,SOURCE,18
TransparentUpgradeableProxy,0xf79a3881713BFA9Fe080Ef6f2D7579Fd595F4f76,ERC-20,NOTHING,18
AdminUpgradeabilityProxy,0x3Cb66518424c91602dd0250c160BBe9ffC1Ea0e3,ERC-20,StarToken,18
ARISwapToken,0x745f233f80F7ddA3073755e50Fa32F4B8A6A1574,ERC-721,ARI,
AlphaBeta,0x2C9F82812D44C3f996d56FB3cc8AAd72b95576cF,ERC-20,ALPHABETA,18
NFT,0xb03BF3cdBbEe3888aAa07783E33ee856163fB754,ERC-721,CELO,
CeloShapes,0x501F7Ea7B1aA25fF7D2feB3a2e96979ba754204B,ERC-721,CSHAPE,
Smiles,0x0A5c1108d016b2486433cD838450c9ef932e03d5,ERC-721,,
AlphaBetaVault,0xFdD41e07BD7d3fb920810a407cACe43B0653c721,ERC-20,ABLP,18
MobiusVault,0x7cFF0c64f92F125e10557339b15Cf11833B29328,ERC-20,mobVAULT,18
