amount_raw,block_date,block_number,block_timestamp,chain,collection_contract_address,from_address,internal_index,log_index,nft_token_id,to_address,transaction_hash,transfer_type
47,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,62,47,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
48,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,63,48,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
49,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,64,49,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
50,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,65,50,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
51,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,66,51,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
52,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,67,52,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
53,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,68,53,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
54,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,69,54,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
55,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,70,55,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
56,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,71,56,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
57,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,72,57,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
58,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,73,58,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
59,2021-11-05,9704037,2021-11-05T07:27:54,Celo,0x179513e0fa9B5AD964405B01194105A2d8e0c2df,0x0000000000000000000000000000000000000000,4,74,59,0x0000000000000000000000000000000000000000,0x42a511c2168dc80ef0b6e5bb0deb1808fba8409a0963f73e74cf8da68f37f6d5,transfer
